Font,Most Used Pixel,Pixel Count
Roboto,255,506843576
Open Sans,255,545548970
Noto Sans JP,255,554942075
Montserrat,255,543877587
Poppins,255,543009748
Lato,255,525298542
Inter,255,521534131
Material Icons,255,630756038
Roboto Condensed,255,508773999
Josefin Sans,255,499122372
